Hour,Low-High,2,3,4,5,6,7,1
0,Low Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
1,Low Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
2,Low Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
3,Low Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
4,Low Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
5,Low Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
6,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
7,Low Demand,Peak,Peak,Peak,Peak,Peak,Standard,Off-Peak
8,Low Demand,Peak,Peak,Peak,Peak,Peak,Standard,Off-Peak
9,Low Demand,Peak,Peak,Peak,Peak,Peak,Standard,Off-Peak
10,Low Demand,Standard,Standard,Standard,Standard,Standard,Standard,Off-Peak
11,Low Demand,Standard,Standard,Standard,Standard,Standard,Standard,Off-Peak
12,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
13,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
14,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
15,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
16,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
17,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
18,Low Demand,Peak,Peak,Peak,Peak,Peak,Standard,Off-Peak
19,Low Demand,Peak,Peak,Peak,Peak,Peak,Standard,Off-Peak
20,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
21,Low Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
22,Low Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
23,Low Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
0,High Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
1,High Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
2,High Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
3,High Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
4,High Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
5,High Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
6,High Demand,Peak,Peak,Peak,Peak,Peak,Off-Peak,Off-Peak
7,High Demand,Peak,Peak,Peak,Peak,Peak,Standard,Off-Peak
8,High Demand,Peak,Peak,Peak,Peak,Peak,Standard,Off-Peak
9,High Demand,Standard,Standard,Standard,Standard,Standard,Standard,Off-Peak
10,High Demand,Standard,Standard,Standard,Standard,Standard,Standard,Off-Peak
11,High Demand,Standard,Standard,Standard,Standard,Standard,Standard,Off-Peak
12,High Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
13,High Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
14,High Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
15,High Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
16,High Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
17,High Demand,Peak,Peak,Peak,Peak,Peak,Off-Peak,Off-Peak
18,High Demand,Peak,Peak,Peak,Peak,Peak,Standard,Off-Peak
19,High Demand,Standard,Standard,Standard,Standard,Standard,Standard,Off-Peak
20,High Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
21,High Demand,Standard,Standard,Standard,Standard,Standard,Off-Peak,Off-Peak
22,High Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
23,High Demand,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak,Off-Peak
